model,variant,seed,f1,precision,recall,accuracy,threshold,pos_weight
LSTM,baseline,42,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
LSTM,baseline,123,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
LSTM,baseline,2026,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
LSTM,baseline,7,0.0,0.0,0.0,0.9003601440576231,0.5,1.0
LSTM,baseline,999,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
LSTM,balanced,42,0.0,0.0,0.0,0.8895558223289316,0.6,23.568627450980394
LSTM,balanced,123,0.0,0.0,0.0,0.8619447779111644,0.39999999999999997,23.568627450980394
LSTM,balanced,2026,0.0,0.0,0.0,0.8283313325330132,0.25,23.568627450980394
LSTM,balanced,7,0.0,0.0,0.0,0.8475390156062425,0.35,23.568627450980394
LSTM,balanced,999,0.0,0.0,0.0,0.8835534213685474,0.6,23.568627450980394
GRU,baseline,42,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
GRU,baseline,123,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
GRU,baseline,2026,0.0,0.0,0.0,0.8991596638655462,0.5,1.0
GRU,baseline,7,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
GRU,baseline,999,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
GRU,balanced,42,0.00975609756097561,0.008,0.0125,0.7563025210084033,0.1,23.568627450980394
GRU,balanced,123,0.0,0.0,0.0,0.8463385354141657,0.44999999999999996,23.568627450980394
GRU,balanced,2026,0.011049723756906077,0.009900990099009901,0.0125,0.7851140456182473,0.3,23.568627450980394
GRU,balanced,7,0.031578947368421054,0.02727272727272727,0.0375,0.7791116446578632,0.05,23.568627450980394
GRU,balanced,999,0.0,0.0,0.0,0.82953181272509,0.39999999999999997,23.568627450980394
CNN1D,baseline,42,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
CNN1D,baseline,123,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
CNN1D,baseline,2026,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
CNN1D,baseline,7,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
CNN1D,baseline,999,0.0,0.0,0.0,0.9039615846338536,0.5,1.0
CNN1D,balanced,42,0.0,0.0,0.0,0.7454981992797118,0.39999999999999997,23.568627450980394
CNN1D,balanced,123,0.01015228426395939,0.008547008547008548,0.0125,0.765906362545018,0.39999999999999997,23.568627450980394
CNN1D,balanced,2026,0.0,0.0,0.0,0.8187274909963985,0.49999999999999994,23.568627450980394
CNN1D,balanced,7,0.0,0.0,0.0,0.8235294117647058,0.44999999999999996,23.568627450980394
CNN1D,balanced,999,0.0,0.0,0.0,0.8211284513805522,0.44999999999999996,23.568627450980394
