accuracy,precision,recall,f1,state_count,density,train_time_sec,inference_time_sec,unseen_window_count,detection_rate,mapping_accuracy,direction,train_dataset,test_dataset,model,window,alphabet,seed
0.043795620437956206,0.0,0.0,0.0,17,0.11764705882352941,0.034123897552490234,0.0209653377532959,221,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A3,3,3,42
0.072992700729927,0.0,0.0,0.0,32,0.0615234375,0.03207564353942871,0.044885873794555664,230,0.0,0.06521739130434782,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A4,3,4,42
0.0,0.0,0.0,0.0,41,0.049970255800118976,0.0330965518951416,0.06802630424499512,249,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A5,3,5,42
0.010948905109489052,0.0,0.0,0.0,51,0.03806228373702422,0.03299689292907715,0.08993744850158691,250,0.0,0.008,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A6,3,6,42
0.019704433497536946,0.0,0.0,0.0,36,0.05169753086419753,0.03188943862915039,0.13108372688293457,203,0.0,0.019704433497536946,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A3,4,3,42
0.0,0.0,0.0,0.0,66,0.028236914600550965,0.029985427856445312,0.26901793479919434,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A4,4,4,42
0.0049261083743842365,0.0,0.0,0.0,88,0.021177685950413222,0.02892327308654785,0.38008570671081543,203,0.0,0.0049261083743842365,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A5,4,5,42
0.0,0.0,0.0,0.0,102,0.018166089965397925,0.029009580612182617,0.4519081115722656,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A6,4,6,42
0.0,0.0,0.0,0.0,68,0.025086505190311418,0.02810072898864746,0.468658447265625,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A3,5,3,42
0.0,0.0,0.0,0.0,121,0.015299501400177584,0.031031370162963867,0.8327810764312744,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A4,5,4,42
0.006289308176100629,0.0,0.0,0.0,162,0.01047858558146624,0.028968095779418945,1.1093220710754395,159,0.0,0.006289308176100629,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A5,5,5,42
0.0,0.0,0.0,0.0,195,0.008783694937541092,0.027966022491455078,1.3329048156738281,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A6,5,6,42
0.0,0.0,0.0,0.0,106,0.014773940904236383,0.029081106185913086,0.9899535179138184,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A3,6,3,42
0.0,0.0,0.0,0.0,206,0.007870675841266848,0.028904199600219727,2.0017802715301514,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A4,6,4,42
0.0,0.0,0.0,0.0,269,0.005707494368513426,0.030000925064086914,2.575739860534668,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A5,6,5,42
0.0,0.0,0.0,0.0,300,0.005177777777777778,0.031003713607788086,2.8444082736968994,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A6,6,6,42
0.6154154421586963,0.48345398138572904,0.3321492007104796,0.3937671088650242,27,0.0877914951989026,0.0019986629486083984,0.010014533996582031,0,0.0,0.0,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A3,3,3,42
0.6239647341704515,0.5,0.08454706927175844,0.14463688848374354,58,0.0469678953626635,0.002000570297241211,0.2539858818054199,456,1.0,0.5087719298245614,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A4,3,4,42
0.3840502270905691,0.37752318603382434,0.983303730017762,0.5455799743766631,105,0.025034013605442176,0.002000570297241211,0.38699936866760254,381,1.0,0.4120734908136483,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A5,3,5,42
0.6084691423991451,0.47282099343955014,0.358436944937833,0.4077591432612649,166,0.015132820438380027,0.0020008087158203125,2.829376459121704,1873,1.0,0.4858515750133476,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A6,3,6,42
0.3585174625801853,0.35789473684210527,0.9995017438963627,0.5270625328428796,71,0.02638365403689744,0.0010061264038085938,7.11901593208313,4640,1.0,0.4084051724137931,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A3,4,3,42
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,153,0.01114955786236063,0.001991748809814453,19.308048725128174,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A4,4,4,42
0.3576265146115467,0.3576265146115467,1.0,0.5268407927549548,259,0.005784052116098448,0.0019941329956054688,32.061405420303345,5612,1.0,0.3576265146115467,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A5,4,5,42
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,361,0.003775293314201088,0.0009982585906982422,45.29661321640015,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A6,4,6,42
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,127,0.012338024676049351,0.0010023117065429688,24.793108701705933,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A3,5,3,42
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,268,0.0048451770995767435,0.001001596450805664,56.439629554748535,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A4,5,4,42
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,355,0.0033802816901408453,0.0019888877868652344,74.86902141571045,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A5,5,5,42
