accuracy,precision,recall,f1,train_time_sec,inference_time_sec,dataset,scenario,model,seed,state_count,density,unseen_window_count,detection_rate,mapping_accuracy,window,alphabet
0.6574977817213842,0.0,0.0,0.0,9.556243181228638,0.11986589431762695,SKAB_Fold1,Original,LSTM,42,,,,,,,
0.6572759538598048,0.49851632047477745,0.10880829015544041,0.17862838915470494,12.677639245986938,0.16286492347717285,SKAB_Fold1,Original,GRU,42,,,,,,,
0.6574977817213842,0.0,0.0,0.0,4.419391870498657,0.05192279815673828,SKAB_Fold1,Original,CNN1D,42,,,,,,,
0.6210807204803203,0.85,0.05704697986577181,0.1069182389937107,0.006910085678100586,0.0018048286437988281,SKAB_Fold1,Original,Automata_W3_A3,42,17.0,0.11764705882352941,0.0,0.0,0.0,3.0,3.0
0.6130753835890593,0.8333333333333334,0.03355704697986577,0.06451612903225806,0.006228446960449219,0.003050088882446289,SKAB_Fold1,Original,Automata_W3_A4,42,26.0,0.07692307692307693,3.0,1.0,1.0,3.0,4.0
0.6424282855236825,0.7112676056338029,0.16946308724832215,0.27371273712737126,0.008325576782226562,0.002435445785522461,SKAB_Fold1,Original,Automata_W3_A5,42,34.0,0.05709342560553633,0.0,0.0,0.0,3.0,5.0
0.6044029352901935,0.5365853658536586,0.03691275167785235,0.06907378335949764,0.008345842361450195,0.002953767776489258,SKAB_Fold1,Original,Automata_W3_A6,42,42.0,0.0481859410430839,3.0,1.0,1.0,3.0,6.0
0.6601248884924175,0.76,0.048223350253807105,0.09069212410501193,0.007732391357421875,0.0017843246459960938,SKAB_Fold1,Original,Automata_W4_A3,42,34.0,0.056228373702422146,0.0,0.0,0.0,4.0,3.0
0.6654772524531668,0.8064516129032258,0.06345177664974619,0.11764705882352941,0.006052970886230469,0.0034525394439697266,SKAB_Fold1,Original,Automata_W4_A4,42,49.0,0.036234902124114954,5.0,1.0,1.0,4.0,4.0
0.6770740410347904,0.6481481481481481,0.17766497461928935,0.2788844621513944,0.006265878677368164,0.012221336364746094,SKAB_Fold1,Original,Automata_W4_A5,42,63.0,0.027714789619551525,22.0,0.0,0.0,4.0,5.0
0.6351471900089206,0.32558139534883723,0.03553299492385787,0.06407322654462243,0.006050586700439453,0.004453182220458984,SKAB_Fold1,Original,Automata_W4_A6,42,81.0,0.02255753696082914,5.0,0.8,0.8,4.0,6.0
0.5715883668903803,0.7619047619047619,0.04060913705583756,0.07710843373493977,0.0056993961334228516,0.0021047592163085938,SKAB_Fold1,Original,Automata_W5_A3,42,64.0,0.025634765625,0.0,0.0,0.0,5.0,3.0
0.5771812080536913,0.8333333333333334,0.050761421319796954,0.09569377990430622,0.007828950881958008,0.0156252384185791,SKAB_Fold1,Original,Automata_W5_A4,42,83.0,0.018144868631151112,8.0,0.875,0.875,5.0,4.0
0.6230425055928411,0.7714285714285715,0.20558375634517767,0.3246492985971944,0.0074994564056396484,0.06971383094787598,SKAB_Fold1,Original,Automata_W5_A5,42,95.0,0.015290858725761773,50.0,0.9047619047619048,0.76,5.0,5.0
0.5380313199105146,0.27906976744186046,0.030456852791878174,0.05491990846681922,0.005555152893066406,0.031048059463500977,SKAB_Fold1,Original,Automata_W5_A6,42,143.0,0.011149689471367793,19.0,0.625,0.2631578947368421,5.0,6.0
0.4601889338731444,0.35,0.017766497461928935,0.033816425120772944,0.004996299743652344,0.01203155517578125,SKAB_Fold1,Original,Automata_W6_A3,42,99.0,0.014182226303438425,7.0,0.0,0.0,6.0,3.0
0.47368421052631576,0.5714285714285714,0.04060913705583756,0.07582938388625593,0.005167961120605469,0.06714129447937012,SKAB_Fold1,Original,Automata_W6_A4,42,121.0,0.010655009903695103,20.0,1.0,0.5,6.0,4.0
0.6167341430499326,0.9583333333333334,0.2918781725888325,0.4474708171206226,0.00540924072265625,0.30744123458862305,SKAB_Fold1,Original,Automata_W6_A5,42,128.0,0.0098876953125,94.0,0.9574468085106383,0.9574468085106383,6.0,5.0
0.4939271255060729,0.7435897435897436,0.07360406091370558,0.13394919168591224,0.005432844161987305,0.2016308307647705,SKAB_Fold1,Original,Automata_W6_A6,42,198.0,0.006836037139067442,36.0,0.8275862068965517,0.6666666666666666,6.0,6.0
