stat,p_value,significant,dataset,model_a,model_b
0.0,0.0625,False,SKAB_Fold1,Automata_W4_A3,LSTM
0.0,0.0625,False,SKAB_Fold1,Automata_W4_A3,GRU
0.0,0.0625,False,SKAB_Fold1,Automata_W4_A3,CNN1D
0.0,0.0625,False,SKAB_Fold2,Automata_W4_A3,LSTM
0.0,0.0625,False,SKAB_Fold2,Automata_W4_A3,GRU
0.0,0.0625,False,SKAB_Fold2,Automata_W4_A3,CNN1D
0.0,0.0625,False,SKAB_Fold3,Automata_W4_A3,LSTM
0.0,0.0625,False,SKAB_Fold3,Automata_W4_A3,GRU
0.0,0.0625,False,SKAB_Fold3,Automata_W4_A3,CNN1D
0.0,0.0625,False,SKAB_Fold4,Automata_W4_A3,LSTM
0.0,0.0625,False,SKAB_Fold4,Automata_W4_A3,GRU
0.0,0.0625,False,SKAB_Fold4,Automata_W4_A3,CNN1D
0.0,0.0625,False,SKAB_Fold5,Automata_W4_A3,LSTM
0.0,0.0625,False,SKAB_Fold5,Automata_W4_A3,GRU
0.0,0.0625,False,SKAB_Fold5,Automata_W4_A3,CNN1D
0.0,1.0,False,BATADAL_CHRON,Automata_W4_A3,LSTM
0.0,1.0,False,BATADAL_CHRON,Automata_W4_A3,GRU
0.0,1.0,False,BATADAL_CHRON,Automata_W4_A3,CNN1D
